nombre,url nar,urls bd en nar y redirigida son distintas,url bd en nar,url bd redirigida,status url bd,categoria 1,subcategoria 1,categoria 2,subcategoria 2,categoria 3,subcategoria 3,doi,url redirigida del doi,ultima modificacion de la pagina de la bd,dias transcurridos desde la ultima modificacion de la pagina de la bd
ICG,https://www.oxfordjournals.org/nar/database/summary/19,,http://icg.big.ac.cn,,Remote end closed connection without response,,,,,,,http://dx.doi.org/10.1093/nar/gkx875,http://academic.oup.com/nar/article/46/D1/D121/4282671,,
ITSoneDB,https://www.oxfordjournals.org/nar/database/summary/20,False,http://itsonedb.cloud.ba.infn.it/,http://itsonedb.cloud.ba.infn.it/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx855,http://academic.oup.com/nar/article/46/D1/D127/4210943,,
Lnc2Meth,https://www.oxfordjournals.org/nar/database/summary/21,,http://www.bio-bigdata.com/Lnc2Meth,,HTTP Error 502: Bad Gateway,,,,,,,http://dx.doi.org/10.1093/nar/gkx985,http://academic.oup.com/nar/article/46/D1/D133/4561655,,
m6AVar,https://www.oxfordjournals.org/nar/database/summary/22,True,http://m6avar.renlab.org/,https://rmvar.renlab.org/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx895,http://academic.oup.com/nar/article/46/D1/D139/4316107,2020-11-03,566
mirTrans,https://www.oxfordjournals.org/nar/database/summary/26,True,http://mcube.nju.edu.cn/jwang/lab/soft/mirtrans/,https://mcube.nju.edu.cn/jwang/lab/soft/mirtrans/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx996,http://academic.oup.com/nar/article/46/D1/D168/4564804,,
MeDReaders,https://www.oxfordjournals.org/nar/database/summary/23,True,http://medreader.org/,http://medreader.org/home,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1096,http://academic.oup.com/nar/article/46/D1/D146/4626765,,
miRCarta,https://www.oxfordjournals.org/nar/database/summary/25,False,https://mircarta.cs.uni-saarland.de/,https://mircarta.cs.uni-saarland.de/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx851,http://academic.oup.com/nar/article/46/D1/D160/4191334,,
MINTbase,https://www.oxfordjournals.org/nar/database/summary/24,False,https://cm.jefferson.edu/MINTbase/,https://cm.jefferson.edu/MINTbase/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1075,http://academic.oup.com/nar/article/46/D1/D152/4653530,,
MGA,https://www.oxfordjournals.org/nar/database/summary/27,,http://ccg.vital-it.ch/mga/,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)>,,,,,,,http://dx.doi.org/10.1093/nar/gkx995,http://academic.oup.com/nar/article/46/D1/D175/4563313,,
MSDD,https://www.oxfordjournals.org/nar/database/summary/28,,http://www.bio-bigdata.com/msdd/,,HTTP Error 502: Bad Gateway,,,,,,,http://dx.doi.org/10.1093/nar/gkx1035,http://academic.oup.com/nar/article/46/D1/D181/4584636,,
OverGeneDB,https://www.oxfordjournals.org/nar/database/summary/29,False,http://overgenedb.amu.edu.pl,http://overgenedb.amu.edu.pl,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx948,http://academic.oup.com/nar/article/46/D1/D186/4561643,,
RISE,https://www.oxfordjournals.org/nar/database/summary/30,False,http://rise.zhanglab.net,http://rise.zhanglab.net,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx864,https://academic.oup.com/nar/article/46/D1/D194/4344571,2020-08-19,642
RNArchitecture,https://www.oxfordjournals.org/nar/database/summary/31,False,http://iimcb.genesilico.pl/RNArchitecture/,http://iimcb.genesilico.pl/RNArchitecture/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx966,http://academic.oup.com/nar/article/doi/10.1093/nar/gkx966/4561639,2022-05-23,0
TranslatomeDB,https://www.oxfordjournals.org/nar/database/summary/32,False,http://www.translatomedb.net/,http://www.translatomedb.net/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1034,http://academic.oup.com/nar/article/46/D1/D206/4584635,2020-11-24,545
APPRIS,https://www.oxfordjournals.org/nar/database/summary/33,,http://appris-tools.org,,<urlopen error timed out>,Nucleotide Sequence Databases,"Gene structure, introns and exons, splice sites",,,,,http://dx.doi.org/10.1093/nar/gkx997,http://academic.oup.com/nar/article/46/D1/D213/4561658,,
ARED-Plus,https://www.oxfordjournals.org/nar/database/summary/34,True,http://brp.kfshrc.edu.sa/ared,https://brp.kfshrc.edu.sa/ared,200,Nucleotide Sequence Databases,,,,,,http://dx.doi.org/10.1093/nar/gkx975,http://academic.oup.com/nar/article/46/D1/D218/4564798,,
CCDS,https://www.oxfordjournals.org/nar/database/summary/35,,https://www.ncbi.nlm.nih.gov/CCDS/CcdsBrowse.cgi and ftp://ftp.ncbi.nlm.nih.gov/pub/CCDS/,,URL can't contain control characters. '/CCDS/CcdsBrowse.cgi and ftp://ftp.ncbi.nlm.nih.gov/pub/CCDS/' (found at least ' '),,,,,,,http://dx.doi.org/10.1093/nar/gkx1031,http://academic.oup.com/nar/article/46/D1/D221/4595661,,
DBTSS/DBKERO,https://www.oxfordjournals.org/nar/database/summary/36,True,http://dbtss.hgc.jp/,https://dbtss.hgc.jp/,200,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx1001,http://academic.oup.com/nar/article/46/D1/D229/4602866,2020-04-13,770
DIANA-TarBase,https://www.oxfordjournals.org/nar/database/summary/37,True,http://www.microrna.gr/tarbase,http://www.microrna.gr/tarbase/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1141,http://academic.oup.com/nar/article/46/D1/D239/4634010,2022-03-02,82
Expression Atlas,https://www.oxfordjournals.org/nar/database/summary/38,True,http://www.ebi.ac.uk/gxa,https://www.ebi.ac.uk/gxa/home,200,Microarray Data and other Gene Expression Databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1158,http://academic.oup.com/nar/article/46/D1/D246/4641906,,
HOCOMOCO,https://www.oxfordjournals.org/nar/database/summary/39,,http://hocomoco.autosome.ru/ and http://www.cbrc.kaust.edu.sa/hocomoco11/,,URL can't contain control characters. '/ and http://www.cbrc.kaust.edu.sa/hocomoco11/' (found at least ' '),Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx1106,http://academic.oup.com/nar/article/46/D1/D252/4616875,,
JASPAR,https://www.oxfordjournals.org/nar/database/summary/40,True,http://jaspar.genereg.net,https://jaspar.genereg.net/,200,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx1126,http://academic.oup.com/nar/article/46/D1/D260/4621338,,
ReMap,https://www.oxfordjournals.org/nar/database/summary/41,,http://remap.cisreg.eu,,<urlopen error [Errno -2] Name or service not known>,,,,,,,http://dx.doi.org/10.1093/nar/gkx1092,http://academic.oup.com/nar/article/46/D1/D267/4602873,,
lncRNASNP2,https://www.oxfordjournals.org/nar/database/summary/42,False,http://bioinfo.life.hust.edu.cn/lncRNASNP2,http://bioinfo.life.hust.edu.cn/lncRNASNP2,200,Nucleotide Sequence Databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1004,http://academic.oup.com/nar/article/46/D1/D276/4564797,,
MeT-DB,https://www.oxfordjournals.org/nar/database/summary/43,,http://compgenomics.utsa.edu/MeTDB/ and http://www.xjtlu.edu.cn/metdb2,,URL can't contain control characters. '/MeTDB/ and http://www.xjtlu.edu.cn/metdb2' (found at least ' '),RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1080,http://academic.oup.com/nar/article/46/D1/D281/4602872,,
MethBank,https://www.oxfordjournals.org/nar/database/summary/44,,http://bigd.big.ac.cn/methbank,,Remote end closed connection without response,Nucleotide Sequence Databases,Coding and non-coding DNA,,,,,http://dx.doi.org/10.1093/nar/gkx1139,http://academic.oup.com/nar/article/46/D1/D288/4637581,,
miRTarBase,https://www.oxfordjournals.org/nar/database/summary/45,,http://miRTarBase.mbc.nctu.edu.tw/,,<urlopen error [Errno -2] Name or service not known>,Nucleotide Sequence Databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1067,http://academic.oup.com/nar/article/46/D1/D296/4595852,,
MODOMICS,https://www.oxfordjournals.org/nar/database/summary/46,True,http://modomics.genesilico.pl,https://iimcb.genesilico.pl/modomics/,200,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1030,http://academic.oup.com/nar/article/46/D1/D303/4584632,,
NONCODEv5,https://www.oxfordjournals.org/nar/database/summary/47,False,http://www.noncode.org,http://www.noncode.org,200,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1107,http://academic.oup.com/nar/article/46/D1/D308/4616876,,
PolyA_DB,https://www.oxfordjournals.org/nar/database/summary/48,,http://www.polya-db.org/v3.beta/,,<urlopen error timed out>,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1000,http://academic.oup.com/nar/article/46/D1/D315/4561640,,
ChannelsDB,https://www.oxfordjournals.org/nar/database/summary/61,True,http://ncbr.muni.cz/ChannelsDB,http://ncbr.muni.cz/ChannelsDB/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx868,http://academic.oup.com/nar/article/46/D1/D399/4316099,2022-05-11,12
STCRDab,https://www.oxfordjournals.org/nar/database/summary/62,True,http://opig.stats.ox.ac.uk/webapps/stcrdab,http://opig.stats.ox.ac.uk/webapps/stcrdab/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx971,http://academic.oup.com/nar/article/46/D1/D406/4566020,,
PRODORIC2,https://www.oxfordjournals.org/nar/database/summary/49,True,http://www.prodoric2.de,https://www.prodoric.de/,200,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx1091,http://academic.oup.com/nar/article/46/D1/D320/4607805,,
RMBase,https://www.oxfordjournals.org/nar/database/summary/50,True,http://rna.sysu.edu.cn/rmbase/,https://rna.sysu.edu.cn/rmbase/,200,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx934,http://academic.oup.com/nar/article/46/D1/D327/4429298,,
MNDR,https://www.oxfordjournals.org/nar/database/summary/56,False,http://www.rna-society.org/mndr/,http://www.rna-society.org/mndr/,200,,,,,,,https://doi.org/10.1093/nar/gkaa707,https://academic.oup.com/nar/article/49/D1/D160/5896430,2020-10-11,589
AmyPro,https://www.oxfordjournals.org/nar/database/summary/59,False,http://amypro.net,http://amypro.net,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx950,http://academic.oup.com/nar/article/46/D1/D387/4508877,2017-09-22,1704
anti-CRISPRdb,https://www.oxfordjournals.org/nar/database/summary/60,,http://cefg.uestc.edu.cn/anti-CRISPRdb/,,<urlopen error [Errno -2] Name or service not known>,,,,,,,http://dx.doi.org/10.1093/nar/gkx835,http://academic.oup.com/nar/article/46/D1/D393/4191329,,
Rfam,https://www.oxfordjournals.org/nar/database/summary/51,True,http://rfam.org,https://rfam.org/,200,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkaa1047,https://academic.oup.com/nar/article/49/D1/D192/5992291,2022-05-23,0
TFClass,https://www.oxfordjournals.org/nar/database/summary/52,False,http://tfclass.bioinf.med.uni-goettingen.de,http://tfclass.bioinf.med.uni-goettingen.de,200,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx987,http://academic.oup.com/nar/article/46/D1/D343/4566021,,
YEASTRACT,https://www.oxfordjournals.org/nar/database/summary/53,False,http://www.yeastract.com/,http://www.yeastract.com/,200,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkx842,http://academic.oup.com/nar/article/46/D1/D348/4191333,,
mirDIP,https://www.oxfordjournals.org/nar/database/summary/55,,http://ophid.utoronto.ca/mirDIP/,,<urlopen error timed out>,,,,,,,http://dx.doi.org/10.1093/nar/gkx1144,http://academic.oup.com/nar/article/46/D1/D360/4670951,,
miRandola,https://www.oxfordjournals.org/nar/database/summary/54,False,http://mirandola.iit.cnr.it/,http://mirandola.iit.cnr.it/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx854,http://academic.oup.com/nar/article/46/D1/D354/4191335,,
RMDB,https://www.oxfordjournals.org/nar/database/summary/57,True,http://rmdb.stanford.edu,https://rmdb.stanford.edu/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx873,http://academic.oup.com/nar/article/46/D1/D375/4372478,,
TRRUST v2,https://www.oxfordjournals.org/nar/database/summary/58,True,http://combio.snu.ac.kr/aspedia,http://combio.snu.ac.kr/aspedia/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1013,http://academic.oup.com/nar/article/46/D1/D380/4566018,,
Target-Pathogen,https://www.oxfordjournals.org/nar/database/summary/63,True,http://target.sbg.qb.fcen.uba.ar/patho,http://target.sbg.qb.fcen.uba.ar/patho/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1015,http://academic.oup.com/nar/article/46/D1/D413/4584621,,
VDJdb,https://www.oxfordjournals.org/nar/database/summary/64,False,https://vdjdb.cdr3.net/.,https://vdjdb.cdr3.net/.,200,Protein sequence databases,Protein sequence motifs and active sites,,,,,http://dx.doi.org/10.1093/nar/gkx760,http://academic.oup.com/nar/article/46/D1/D419/4101254,,
ELM,https://www.oxfordjournals.org/nar/database/summary/65,False,http://elm.eu.org,http://elm.eu.org,200,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gkx1077,http://academic.oup.com/nar/article/46/D1/D428/4612965,,
Gene3D,https://www.oxfordjournals.org/nar/database/summary/66,,http://gene3d.biochem.ucl.ac.uk,,HTTP Error 503: Service Temporarily Unavailable,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkx1069,http://academic.oup.com/nar/article/46/D1/D435/4588111,,
GPCRdb,https://www.oxfordjournals.org/nar/database/summary/67,True,http://www.gpcrdb.org,https://gpcrdb.org/,200,Protein sequence databases,Databases of individual protein families,,,,,https://doi.org/10.1093/nar/gkaa1080,https://academic.oup.com/nar/article/49/D1/D335/6018432,,
iUUCD,https://www.oxfordjournals.org/nar/database/summary/68,False,http://iuucd.biocuckoo.org/,http://iuucd.biocuckoo.org/,200,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkx1041,http://academic.oup.com/nar/article/46/D1/D447/4584638,,
KNOTTIN,https://www.oxfordjournals.org/nar/database/summary/69,True,http://www.dsimb.inserm.fr/KNOTTIN/,https://www.dsimb.inserm.fr/KNOTTIN/,200,Structure Databases,,,,,,http://dx.doi.org/10.1093/nar/gkx1084,http://academic.oup.com/nar/article/46/D1/D454/4607803,,
MetalPDB,https://www.oxfordjournals.org/nar/database/summary/70,,http://metalweb.cerm.unifi.it/,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)>,Protein sequence databases,Protein sequence motifs and active sites,,,,,http://dx.doi.org/10.1093/nar/gkx989,http://academic.oup.com/nar/article/46/D1/D459/4564802,,
Minimotif miner,https://www.oxfordjournals.org/nar/database/summary/71,,http://minimotifminer.org and mnm.engr.uconn.edu,,URL can't contain control characters. 'minimotifminer.org and mnm.engr.uconn.edu' (found at least ' '),Protein sequence databases,Protein properties,,,,,http://dx.doi.org/10.1093/nar/gkx1085,http://academic.oup.com/nar/article/46/D1/D465/4616869,,
MobiDB,https://www.oxfordjournals.org/nar/database/summary/72,False,https://mobidb.org,https://mobidb.org,200,Protein sequence databases,Protein domain databases; protein classification,,,,,https://doi.org/10.1093/nar/gkaa1058,https://academic.oup.com/nar/article/49/D1/D361/6006190,2022-04-13,40
OMA,https://www.oxfordjournals.org/nar/database/summary/73,False,https://omabrowser.org,https://omabrowser.org,200,Structure Databases,,,,,,https://doi.org/10.1093/nar/gkaa1007,https://academic.oup.com/nar/article/49/D1/D373/5974092,2018-03-15,1530
PDBe,https://www.oxfordjournals.org/nar/database/summary/74,True,http://pdbe.org,https://www.ebi.ac.uk/pdbe/,200,Protein sequence databases,Protein domain databases; protein classification,,,,,http://dx.doi.org/10.1093/nar/gkz990,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz990/5613681,,
SMART,https://www.oxfordjournals.org/nar/database/summary/75,False,http://smart.embl.de,http://smart.embl.de,200,Protein sequence databases,,,,,,http://dx.doi.org/10.1093/nar/gkx922,http://academic.oup.com/nar/article/46/D1/D493/4429069,,
sORFs.org,https://www.oxfordjournals.org/nar/database/summary/76,False,http://www.sorfs.org,http://www.sorfs.org,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1130,http://academic.oup.com/nar/article/46/D1/D497/4621340,,
NLSdb,https://www.oxfordjournals.org/nar/database/summary/77,False,https://rostlab.org/services/nlsdb/,https://rostlab.org/services/nlsdb/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1021,http://academic.oup.com/nar/article/46/D1/D503/4584625,,
ClusterCAD,https://www.oxfordjournals.org/nar/database/summary/78,,https://clustercad.jbei.org and http://clustercad.igb.uci.edu,,URL can't contain control characters. 'clustercad.jbei.org and http' (found at least ' '),,,,,,,http://dx.doi.org/10.1093/nar/gkx893,http://academic.oup.com/nar/article/46/D1/D509/4430923,,
dbCAN-seq,https://www.oxfordjournals.org/nar/database/summary/79,,http://cys.bios.niu.edu/dbCAN_seq_V1/,,<urlopen error timed out>,,,,,,,http://dx.doi.org/10.1093/nar/gkx894,http://academic.oup.com/nar/article/46/D1/D516/4372485,,
DifferentialNET,https://www.oxfordjournals.org/nar/database/summary/80,,http://netbio.bgu.ac.il/diffnet,,<urlopen error timed out>,,,,,,,http://dx.doi.org/10.1093/nar/gkx981,http://academic.oup.com/nar/article/46/D1/D522/4563308,,
DISNOR,https://www.oxfordjournals.org/nar/database/summary/81,True,http://disnor.uniroma2.it/,https://disnor.uniroma2.it/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx876,http://academic.oup.com/nar/article/46/D1/D527/4282672,,
FusionDB,https://www.oxfordjournals.org/nar/database/summary/82,True,http://services.bromberglab.org/fusiondb/,https://services.bromberglab.org/fusiondb/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1060,http://academic.oup.com/nar/article/46/D1/D535/4588109,,
iPTMnet,https://www.oxfordjournals.org/nar/database/summary/83,True,http://research.bioinformatics.udel.edu/iptmnet/,https://research.bioinformatics.udel.edu/iptmnet/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1104,http://academic.oup.com/nar/article/46/D1/D542/4626766,,
JMorp,https://www.oxfordjournals.org/nar/database/summary/84,True,https://jmorp.megabank.tohoku.ac.jp/,https://jmorp.megabank.tohoku.ac.jp/202112/,200,,,,,,,https://doi.org/10.1093/nar/gkaa1034,https://academic.oup.com/nar/article/49/D1/D536/5976824,2022-03-25,59
LINCS Data Portal,https://www.oxfordjournals.org/nar/database/summary/85,False,http://lincsportal.ccs.miami.edu/dcic-portal/,http://lincsportal.ccs.miami.edu/dcic-portal/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1063,http://academic.oup.com/nar/article/46/D1/D558/4621325,2017-11-28,1637
MIST,https://www.oxfordjournals.org/nar/database/summary/86,True,http://fgrtools.hms.harvard.edu/ProteinSearch/,https://fgrtools.hms.harvard.edu/ProteinSearch.html/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1116,http://academic.oup.com/nar/article/46/D1/D567/4634006,,
PAMDB,https://www.oxfordjournals.org/nar/database/summary/87,False,http://pseudomonas.umaryland.edu,http://pseudomonas.umaryland.edu,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1061,http://academic.oup.com/nar/article/46/D1/D575/4584639,2022-04-05,48
Tabloid Proteome,https://www.oxfordjournals.org/nar/database/summary/88,True,http://iomics.ugent.be/tabloidproteome,https://iomics.ugent.be/tabloidproteome/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx930,http://academic.oup.com/nar/article/46/D1/D581/4508874,,
TriForC database,https://www.oxfordjournals.org/nar/database/summary/89,False,http://bioinformatics.psb.ugent.be/triforc/,http://bioinformatics.psb.ugent.be/triforc/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx925,http://academic.oup.com/nar/article/46/D1/D586/4555231,2017-09-19,1707
TCSBN,https://www.oxfordjournals.org/nar/database/summary/90,True,http://inetmodels.com,https://inetmodels.com/,200,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gkx994,http://academic.oup.com/nar/article/46/D1/D595/4563312,2021-04-20,398
FunCoup,https://www.oxfordjournals.org/nar/database/summary/91,True,http://funcoup.sbc.su.se,https://funcoup5.scilifelab.se/search/,200,Metabolic and Signaling Pathways,,,,,,http://dx.doi.org/10.1093/nar/gkx1138,http://academic.oup.com/nar/article/46/D1/D601/4641901,,
HMDB,https://www.oxfordjournals.org/nar/database/summary/92,True,http://www.hmdb.ca,https://hmdb.ca/,200,Metabolic and Signaling Pathways,Enzymes and enzyme nomenclature,,,,,http://dx.doi.org/10.1093/nar/gkx1089,http://academic.oup.com/nar/article/46/D1/D608/4616873,,
M-CSA,https://www.oxfordjournals.org/nar/database/summary/93,True,http://www.ebi.ac.uk/thornton-srv/m-csa,http://www.ebi.ac.uk/thornton-srv/m-csa/,200,Metabolic and Signaling Pathways,Enzymes and enzyme nomenclature,,,,,http://dx.doi.org/10.1093/nar/gkx1012,http://academic.oup.com/nar/article/46/D1/D618/4584620,,
MetaCyc,https://www.oxfordjournals.org/nar/database/summary/95,False,https://MetaCyc.org,https://MetaCyc.org,200,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkx935,http://academic.oup.com/nar/article/46/D1/D633/4559117,,
WDSPdb,https://www.oxfordjournals.org/nar/database/summary/1777,,http://wu.scbb.pkusz.edu.cn/wdsp/,,<urlopen error timed out>,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gku1023,http://academic.oup.com/nar/article/43/D1/D339/2435448/WDSPdb-a-database-for-WD40repeat-proteins,,
SASBDB,https://www.oxfordjournals.org/nar/database/summary/1778,True,http://www.sasbdb.org/,https://www.sasbdb.org/,200,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gku1047,http://academic.oup.com/nar/article/43/D1/D357/2436355/SASBDB-a-repository-for-biological-smallangle,,
ValidatorDB,https://www.oxfordjournals.org/nar/database/summary/1779,True,http://ncbr.muni.cz/ValidatorDB,http://ncbr.muni.cz/ValidatorDB/,200,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gku1118,http://academic.oup.com/nar/article/43/D1/D369/2437721/ValidatorDB-database-of-uptodate-validation,2016-10-24,2037
