nombre,url nar,urls db en nar y redirigida son iguales,url db en nar,url db redirigida,codigo status url db,status url db,ultima modificacion de pagina con url db en nar,categoria 1,subcategoria 1,categoria 2,subcategoria 2,categoria 3,subcategoria 3,doi,url redirigida del doi,
VirHostNet,https://www.oxfordjournals.org/nar/database/summary/1261,False,http://virhostnet.prabi.fr,https://virhostnet.prabi.fr/,200,OK,12 Apr 2022,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gku1121,http://academic.oup.com/nar/article/43/D1/D583/2437900/VirHostNet-20-surfing-on-the-web-of-virushost,
VarySysDB,https://www.oxfordjournals.org/nar/database/summary/1262,True,http://h-invitational.jp/varygene/,http://h-invitational.jp/varygene/,200,OK,02 Dec 2010,Human Genes and Diseases,General polymorphism databases,,,,,,,
TarBase,https://www.oxfordjournals.org/nar/database/summary/1264,False,http://microrna.gr/tarbase,http://microrna.gr/tarbase/,200,OK,02 Mar 2022,RNA sequence databases,,,,,,http://dx.doi.org/10.1093/nar/,,
EVOG,https://www.oxfordjournals.org/nar/database/summary/1266,,http://neobio.cs.pusan.ac.kr/evog/,,"HTTPConnectionPool(host='neobio.cs.pusan.ac.kr', port=80): Max retries exceeded with url: /evog/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5b1cac0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='neobio.cs.pusan.ac.kr', port=80): Max retries exceeded with url: /evog/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5b1cac0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Human and other Vertebrate Genomes,"Model organisms, comparative genomics",,,,,,,
ERGR,https://www.oxfordjournals.org/nar/database/summary/1268,True,https://bioinfo.uth.edu/ERGR//,https://bioinfo.uth.edu/ERGR//,200,OK,,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,,,
ConSurf-DB,https://www.oxfordjournals.org/nar/database/summary/1269,,http://consurfdb.tau.ac.il/,,"HTTPSConnectionPool(host='consurfdb.tau.ac.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')))","HTTPSConnectionPool(host='consurfdb.tau.ac.il', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')))",,Structure Databases,Protein structure,,,,,,,
metaTIGER,https://www.oxfordjournals.org/nar/database/summary/1270,True,http://www.bioinformatics.leeds.ac.uk/metatiger/,http://www.bioinformatics.leeds.ac.uk/metatiger/,200,OK,,Genomics Databases (non-vertebrate),Unicellular eukaryotes genome databases,,,,,,,
MoKCa,https://www.oxfordjournals.org/nar/database/summary/1271,True,http://strubiol.icr.ac.uk/extra/mokca/,http://strubiol.icr.ac.uk/extra/mokca/,200,OK,11 Apr 2018,Human Genes and Diseases,Cancer gene databases,,,,,,,
Kinomer,https://www.oxfordjournals.org/nar/database/summary/1273,True,http://www.compbio.dundee.ac.uk/kinomer/,http://www.compbio.dundee.ac.uk/kinomer/,200,OK,05 Sep 2012,Protein sequence databases,Databases of individual protein families,,,,,,,
AutDB,https://www.oxfordjournals.org/nar/database/summary/1274,True,http://autism.mindspec.org/autdb/Welcome.do,http://autism.mindspec.org/autdb/Welcome.do,200,200,,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,,,
SuperToxic,https://www.oxfordjournals.org/nar/database/summary/1277,False,http://bioinformatics.charite.de/supertoxic/,https://bioinformatics.charite.de/supertoxic/,404,Not Found,,Structure Databases,Small molecules,,,,,,,
miRecords,https://www.oxfordjournals.org/nar/database/summary/1278,True,http://c1.accurascience.com/miRecords/,http://c1.accurascience.com/miRecords/,200,OK,,RNA sequence databases,,,,,,,,
sRNAMap,https://www.oxfordjournals.org/nar/database/summary/1279,,http://srnamap.mbc.nctu.edu.tw/,,"HTTPConnectionPool(host='srnamap.mbc.nctu.edu.tw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5acd4d8>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='srnamap.mbc.nctu.edu.tw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5acd4d8>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,RNA sequence databases,,,,,,,,
EciD,https://www.oxfordjournals.org/nar/database/summary/1280,True,http://ecid.bioinfo.cnio.es/,http://ecid.bioinfo.cnio.es/,200,OK,,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,,,
BloodExpress,https://www.oxfordjournals.org/nar/database/summary/1281,False,http://hscl.cimr.cam.ac.uk/bloodexpress/,https://cellpics.cimr.cam.ac.uk/bloodexpress/,404,Not Found,,Microarray Data and other Gene Expression Databases,,,,,,,,
Bionemo,https://www.oxfordjournals.org/nar/database/summary/1282,,http://bionemo.bioinfo.cnio.es/,,"HTTPConnectionPool(host='bionemo.bioinfo.cnio.es', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5b305e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bionemo.bioinfo.cnio.es', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5b305e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Metabolic and Signaling Pathways,Metabolic pathways,,,,,,,
AS-ALPS,https://www.oxfordjournals.org/nar/database/summary/1284,False,http://as-alps.nagahama-i-bio.ac.jp/,https://as-alps.nagahama-i-bio.ac.jp/,200,OK,,Structure Databases,Protein structure,,,,,,,
PIPs,https://www.oxfordjournals.org/nar/database/summary/1285,True,http://www.compbio.dundee.ac.uk/www-pips/,http://www.compbio.dundee.ac.uk/www-pips/,200,OK,,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,,,
HGPD,https://www.oxfordjournals.org/nar/database/summary/1286,,http://hupex.hgpd.jp/entrance/index.html,,"HTTPConnectionPool(host='hupex.hgpd.jp', port=80): Max retries exceeded with url: /entrance/index.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5b30070>, 'Connection to hupex.hgpd.jp timed out. (connect timeout=120)'))","HTTPConnectionPool(host='hupex.hgpd.jp', port=80): Max retries exceeded with url: /entrance/index.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5b30070>, 'Connection to hupex.hgpd.jp timed out. (connect timeout=120)'))",,Human and other Vertebrate Genomes,Human ORFs,,,,,http://dx.doi.org/10.1093/nar/GKR1188,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkr1188,
Arabidopsis Hormone Database,https://www.oxfordjournals.org/nar/database/summary/1287,,http://ahd.cbi.pku.edu.cn/,,"HTTPConnectionPool(host='ahd.cbi.pku.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abeb80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ahd.cbi.pku.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abeb80>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Plant databases,Arabidopsis thaliana,,,,,,,
TcSNP,https://www.oxfordjournals.org/nar/database/summary/1288,,http://snps.tcruzi.org/,,"HTTPConnectionPool(host='snps.tcruzi.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abe220>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='snps.tcruzi.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abe220>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Genomics Databases (non-vertebrate),Unicellular eukaryotes genome databases,,,,,,,
Aspergillus Genomes,https://www.oxfordjournals.org/nar/database/summary/1289,,http://www.aspergillus-genomes.org.uk/,,"HTTPConnectionPool(host='www.aspergillus-genomes.org.uk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abe6b8>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='www.aspergillus-genomes.org.uk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5abe6b8>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Genomics Databases (non-vertebrate),Unicellular eukaryotes genome databases,,,,,,,
ISED,https://www.oxfordjournals.org/nar/database/summary/1290,False,http://influenza.cdc.go.kr/,http://influenza.cdc.go.kr/home/w.mdr,jsessionid=35B0E1E312F6A423D4EC3ADEA1388273.node1,200,OK,,Genomics Databases (non-vertebrate),Viral genome databases,,,,,,
ReplicationDomain (alias ChromosomeDomain),https://www.oxfordjournals.org/nar/database/summary/1292,False,http://www.replicationdomain.org/andhttp://www.chromosomedomain.org/,https://www.replicationdomain.com/andhttp:/www.chromosomedomain.org/,404,Not Found,,Other Molecular Biology Databases,,,,,,,,
Dynamic Proteomics,https://www.oxfordjournals.org/nar/database/summary/1293,False,http://www.weizmann.ac.il/mcb/UriAlon/DynamProt/,https://www.weizmann.ac.il/mcb/UriAlon/DynamProt/,200,OK,11 Jan 2018,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,,,
Expression Atlas,https://www.oxfordjournals.org/nar/database/summary/1294,False,http://www.ebi.ac.uk/gxa,https://www.ebi.ac.uk/gxa/home,200,,,Microarray Data and other Gene Expression Databases,,,,,,http://dx.doi.org/10.1093/nar/gkt1270,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkt1270,
DNASU Plasmid Repository,https://www.oxfordjournals.org/nar/database/summary/1295,False,http://dnasu.org,https://dnasu.org/DNASU/,200,OK,,Other Molecular Biology Databases,,,,,,http://dx.doi.org/10.1093/nar/gkt1060,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkt1060,
BISC,https://www.oxfordjournals.org/nar/database/summary/1298,False,http://bisc.soe.ucsc.edu/,https://bisc.soe.ucsc.edu/,403,Forbidden,,Structure Databases,Protein structure,Metabolic and Signaling Pathways,Protein-protein interactions,,,http://dx.doi.org/10.1093/nar/gkq859,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq859,
Brix,https://www.oxfordjournals.org/nar/database/summary/1299,True,http://brix.switchlab.org/,http://brix.switchlab.org/,200,OK,,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gkq972,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq972,
BSDB,https://www.oxfordjournals.org/nar/database/summary/1300,False,http://info.ifpan.edu.pl/BSDB/,http://jowisz.ifpan.edu.pl/BSDB/,200,OK,,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gkq851,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq851,
BTO,https://www.oxfordjournals.org/nar/database/summary/1301,True,http://www.brenda-enzymes.org/BTO/,http://www.brenda-enzymes.org/BTO/,403,Forbidden,,Genomics Databases (non-vertebrate),"Genome annotation terms, ontologies and nomenclature",,,,,http://dx.doi.org/10.1093/nar/gkq968,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq968,
CancerResource,https://www.oxfordjournals.org/nar/database/summary/1302,False,http://bioinformatics.charite.de/cancerresource/,https://bioinformatics.charite.de/cancerresource/,200,OK,11 Mar 2016,Human Genes and Diseases,,,,,,http://dx.doi.org/10.1093/nar/gkq910,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq910,
ChemProt,https://www.oxfordjournals.org/nar/database/summary/1304,True,http://www.cbs.dtu.dk/services/ChemProt/,http://www.cbs.dtu.dk/services/ChemProt/,404,Not Found,,Metabolic and Signaling Pathways,,,,,,http://dx.doi.org/10.1093/nar/gks1166,http://academic.oup.com/nar/article/41/D1/D464/1065834/ChemProt20-visual-navigation-in-a-disease-chemical,
CLIPZ,https://www.oxfordjournals.org/nar/database/summary/1305,True,http://www.clipz.unibas.ch/,http://www.clipz.unibas.ch/,200,OK,13 Feb 2019,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkq940,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq940,
DAnCER,https://www.oxfordjournals.org/nar/database/summary/1307,False,http://wodaklab.org/dancer/,https://wodaklab.org/dancer/,200,OK,,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkq857,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq857,
DBASS5/3,https://www.oxfordjournals.org/nar/database/summary/1308,False,http://www.dbass.org.uk/,https://www.dbass.org.uk/,200,OK,,Nucleotide Sequence Databases,"Gene structure, introns and exons, splice sites",,,,,http://dx.doi.org/10.1093/nar/gkq887,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq887,
EMDataBank,https://www.oxfordjournals.org/nar/database/summary/1311,False,http://emdatabank.org/,http://www.emdataresource.org/,200,OK,,Structure Databases,Protein structure,,,,,http://dx.doi.org/10.1093/nar/gkq880,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq880,
FlyFactorSurvey,https://www.oxfordjournals.org/nar/database/summary/1312,False,http://pgfe.umassmed.edu/TFDBS/,https://pgfe.umassmed.edu/TFDBS/,200,OK,24 Apr 2020,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,http://dx.doi.org/10.1093/nar/gkq858,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq858,
FragmentStore,https://www.oxfordjournals.org/nar/database/summary/1313,False,http://bioinformatics.charite.de/fragment_store,https://bioinformatics.charite.de/fragment_store/,200,OK,17 Mar 2016,Structure Databases,Small molecules,,,,,http://dx.doi.org/10.1093/nar/gkq969,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq969,
HitPredict,https://www.oxfordjournals.org/nar/database/summary/1314,,http://hintdb.hgc.jp/htp/,,"HTTPConnectionPool(host='hintdb.hgc.jp', port=80): Max retries exceeded with url: /htp/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5acd370>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hintdb.hgc.jp', port=80): Max retries exceeded with url: /htp/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5acd370>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gkq897,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq897,
IEDB-3D,https://www.oxfordjournals.org/nar/database/summary/1315,False,http://www.immuneepitope.org/bb_structure.php,http://www.iedb.org/bb_structure.php,404,Not Found,,Structure Databases,Protein structure,Immunological databases,,,,http://dx.doi.org/10.1093/nar/gkq888,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq888,
IKMC,https://www.oxfordjournals.org/nar/database/summary/1316,False,http://www.knockoutmouse.org/,https://www.mousephenotype.org/,200,OK,12 May 2022,Human and other Vertebrate Genomes,"Model organisms, comparative genomics",,,,,http://dx.doi.org/10.1093/nar/gkq879,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq879,
KUPS,https://www.oxfordjournals.org/nar/database/summary/1317,True,http://www.ittc.ku.edu/chenlab/,http://www.ittc.ku.edu/chenlab/,404,Not Found,,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gkq943,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq943,
LocDB,https://www.oxfordjournals.org/nar/database/summary/1318,False,http://www.rostlab.org/services/locDB/,https://www.rostlab.org/services/locDB/,200,OK,,Protein sequence databases,Protein localization and targeting,,,,,http://dx.doi.org/10.1093/nar/gkq927,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq927,
MatrixDB,https://www.oxfordjournals.org/nar/database/summary/1319,False,http://matrixdb.ibcp.fr,http://matrixdb.ibcp.fr/,200,OK,24 Jun 2016,Protein sequence databases,Protein localization and targeting,,,,,http://dx.doi.org/10.1093/nar/gku1091,http://academic.oup.com/nar/article/43/D1/D321/2437421/MatrixDB-the-extracellular-matrix-interaction,
MitoGenesisDB,https://www.oxfordjournals.org/nar/database/summary/1320,False,http://www.dsimb.inserm.fr/dsimb_tools/mitgene/,https://www.dsimb.inserm.fr/dsimb_tools/mitgene/,200,OK,,Microarray Data and other Gene Expression Databases,,Organelle databases,Mitochondrial genes and proteins,,,http://dx.doi.org/10.1093/nar/gkq781,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq781,
NGSmethDB,https://www.oxfordjournals.org/nar/database/summary/1321,False,http://bioinfo2.ugr.es/NGSmethDB/,https://bioinfo2.ugr.es/NGSmethDB/,200,OK,,Nucleotide Sequence Databases,Coding and non-coding DNA,,,,,http://dx.doi.org/10.1093/nar/gkt1202,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkt1202,
NIAS,https://www.oxfordjournals.org/nar/database/summary/1322,False,http://www.gene.affrc.go.jp/databases_en.php,https://www.gene.affrc.go.jp/databases_en.php,200,OK,,Plant databases,General plant databases,,,,,http://dx.doi.org/10.1093/nar/gkq916,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq916,
OMPdb,https://www.oxfordjournals.org/nar/database/summary/1323,,http://www.ompdb.org,,"HTTPConnectionPool(host='www.ompdb.org', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acd850>, 'Connection to www.ompdb.org timed out. (connect timeout=120)'))","HTTPConnectionPool(host='www.ompdb.org', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acd850>, 'Connection to www.ompdb.org timed out. (connect timeout=120)'))",,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkq863,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq863,
PAIR,https://www.oxfordjournals.org/nar/database/summary/1324,False,http://www.cls.zju.edu.cn/pair/,http://www.cls.zju.edu.cn/pair/main.psp,200,OK,,Metabolic and Signaling Pathways,Protein-protein interactions,Plant databases,Arabidopsis thaliana,,,http://dx.doi.org/10.1093/nar/gkq938,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkq938,
